last_name, first_name,player_id,year,b_ab,b_strikeout,b_walk,batting_avg,slg_percent,on_base_percent,b_rbi,b_total_bases,r_total_stolen_base,r_run,
Fabregas, Jorge,,2001,148,15,3,.223,.318,.229,16,47,0,9,
Long, Terrence,,2001,629,103,52,.283,.412,.335,85,259,9,90,
Counsell, Craig,,2001,458,76,61,.275,.362,.353,38,166,6,76,
Surhoff, B.J.,,2001,484,48,38,.271,.405,.320,58,196,9,68,
Bonds, Barry,,2001,476,93,177,.328,.863,.515,137,411,13,129,
Christensen, McKay,,2001,53,12,3,.321,.415,.400,7,22,3,7,
Bergeron, Peter,,2001,375,87,28,.211,.285,.269,16,107,10,53,
Rusch, Glendon,,2001,54,23,1,.056,.056,.066,5,3,0,0,
Palmeiro, Orlando,,2001,230,24,25,.243,.322,.311,23,74,6,29,
Wilkerson, Brad,,2001,117,41,17,.205,.325,.301,5,38,2,11,
Jackson, Ryan,,2001,118,26,5,.212,.331,.246,11,39,3,19,
Kotsay, Mark,,2001,406,58,48,.291,.441,.365,58,179,13,67,
Mayne, Brent,,2001,326,41,26,.285,.344,.334,40,112,1,28,
DeShields, Delino,,2001,351,77,59,.234,.353,.341,37,124,23,55,
Gwynn, Tony,,2001,102,9,10,.324,.461,.384,17,47,1,5,
Jarvis, Kevin,,2001,61,20,5,.180,.279,.230,10,17,0,8,
Villone, Ron,,2001,22,9,0,.045,.091,.038,0,2,0,2,
Casey, Sean,,2001,533,63,43,.310,.458,.369,89,244,3,69,
Ibanez, Raul,,2001,279,51,32,.280,.495,.353,54,138,0,44,
Martin, Al,,2001,283,59,37,.240,.382,.330,42,108,9,41,
Patterson, Corey,,2001,131,33,6,.221,.336,.262,14,44,4,26,
Singleton, Chris,,2001,392,61,20,.298,.431,.319,45,169,12,57,
Jennings, Jason,,2001,15,3,1,.267,.533,.294,2,8,0,2,
Edmonds, Jim,,2001,500,136,93,.304,.564,.410,110,282,5,95,
Selby, Bill,,2001,92,13,5,.228,.391,.270,12,36,0,7,
Anderson, Garret,,2001,672,100,27,.289,.478,.314,123,321,13,83,
Mientkiewicz, Doug,,2001,543,92,67,.306,.464,.387,74,252,2,77,
Cromer, D.T.,,2001,57,19,3,.281,.596,.302,12,34,0,7,
Magadan, Dave,,2001,128,20,12,.250,.328,.317,12,42,0,12,
Higginson, Bobby,,2001,541,65,80,.277,.445,.366,71,241,20,84,
Helton, Todd,,2001,587,104,98,.336,.685,.430,146,402,7,132,
Minor, Damon,,2001,45,8,3,.156,.178,.208,3,8,0,3,
Brown, Roosevelt,,2001,83,12,7,.265,.506,.326,22,42,0,13,
Mabry, John,,2001,154,46,13,.208,.370,.287,20,57,1,14,
Glavine, Tom,,2001,57,21,4,.140,.175,.154,2,10,0,4,
Lampkin, Tom,,2001,204,41,18,.225,.348,.307,22,71,1,28,
Schneider, Brian,,2001,41,3,6,.317,.463,.396,6,19,0,4,
Lawton III, Matt,,2001,559,80,85,.277,.415,.382,64,232,29,95,
Brown, Dee,,2001,380,81,22,.245,.350,.286,40,133,5,39,
Giles, Brian,,2001,576,67,90,.309,.590,.404,95,340,13,116,
Darr, Mike,,2001,289,72,39,.277,.349,.363,34,101,6,36,
Johnson, Nick,,2001,67,15,7,.194,.313,.308,8,21,0,6,
Kennedy, Adam,,2001,478,71,27,.270,.372,.314,40,178,12,48,
Greer, Rusty,,2001,245,32,27,.273,.453,.341,29,111,1,38,
